              L,     Z,     P
1118,890.404,0.767
1119,890.412,0.767
1120,890.419,0.767
1121,890.427,0.767
1122,890.435,0.767
1123,890.442,0.767
1124,890.45,0.767
1125,890.458,0.767
1126,890.465,0.767
1127,890.473,0.767
1128,890.481,0.767
1129,890.488,0.767
1130,890.496,0.767
1131,890.504,0.767
1132,890.511,0.767
1133,890.519,0.767
1134,890.527,0.767
1135,890.534,0.767
1136,890.542,0.767
1137,890.55,0.767
1138,890.558,0.767
1139,890.565,0.767
1140,890.573,0.767
1141,890.581,0.767
1142,890.588,0.767
1143,890.596,0.767
1144,890.604,0.767
1145,890.611,0.767
1146,890.619,0.767
1147,890.627,0.767
1148,890.634,0.767
1149,890.642,0.767
1150,890.65,0.767
1151,890.657,0.767
1152,890.665,0.767
1153,890.673,0.767
1154,890.68,0.767
1155,890.688,0.767
1156,890.696,0.767
1157,890.703,0.767
1158,890.711,0.767
1159,890.719,0.767
1160,890.726,0.767
1161,890.734,0.767
1162,890.742,0.767
1163,890.749,0.767
1164,890.757,0.767
1165,890.765,0.767
1166,890.772,0.767
1167,890.78,0.767
1168,890.788,0.767
1169,890.795,0.767
1170,890.803,0.767
1171,890.811,0.767
1172,890.818,0.767
1173,890.826,0.767
1174,890.834,0.767
1175,890.841,0.767
1176,890.849,0.767
1177,890.857,0.767
1178,890.864,0.767
1179,890.872,0.767
1180,890.88,0.767
1181,890.887,0.767
1182,890.895,0.767
1183,890.903,0.767
